name,status,stock,description,price
Green Tea Refresher,true,23,leverage sticky content,$4.66
Parsley Italian - Fresh,true,76,facilitate scalable vortals,$9.77
Apple - Royal Gala,true,38,integrate bricks-and-clicks infrastructures,$9.45
Wine - Cava Aria Estate Brut,true,79,enhance rich e-tailers,$4.39
Bread - Pain Au Liat X12,true,90,morph value-added e-markets,$9.98
Pork - Belly Fresh,true,91,generate clicks-and-mortar infrastructures,$7.91
Salmon Steak - Cohoe 6 Oz,false,94,brand frictionless solutions,$5.09
Chicken - Livers,false,74,reinvent ubiquitous interfaces,$2.48
"Beans - Black Bean, Preserved",false,63,scale intuitive bandwidth,$4.40
"Soup - Canadian Pea, Dry Mix",true,67,generate 24/7 schemas,$8.25
"Doilies - 10, Paper",false,29,architect best-of-breed solutions,$4.66
"Bread - Roll, Canadian Dinner",true,84,enhance next-generation web-readiness,$9.07
"Wine - Magnotta, Merlot Sr Vqa",false,66,deploy extensible paradigms,$8.15
Bread - Raisin,true,23,repurpose holistic schemas,$5.19
Rolled Oats,true,97,engage best-of-breed metrics,$7.02
Parsley - Dried,false,49,cultivate cutting-edge relationships,$5.26
Pears - Bosc,false,14,synthesize vertical solutions,$4.05
Mushrooms - Honey,true,92,expedite cutting-edge interfaces,$5.45
Wine - Ruffino Chianti,true,67,utilize integrated convergence,$7.13
Milk - Homo,false,90,integrate efficient portals,$5.92
"Stock - Veal, White",false,87,disintermediate seamless communities,$4.29
Lobster - Base,false,14,aggregate cross-platform e-tailers,$8.44
Lid - 0090 Clear,true,33,embrace end-to-end action-items,$5.80
Beer - Molson Excel,false,100,harness clicks-and-mortar e-services,$5.56
Magnotta Bel Paese Red,false,53,visualize dot-com interfaces,$4.27
Appetizer - Lobster Phyllo Roll,false,24,reintermediate compelling applications,$4.26
Bread - 10 Grain Parisian,true,79,transition cross-platform bandwidth,$7.89
Foam Tray S2,true,15,e-enable sticky e-markets,$3.39
Pasta - Agnolotti - Butternut,true,36,enable mission-critical bandwidth,$7.94
Chocolate - Sugar Free Semi Choc,false,67,brand compelling infomediaries,$3.58
Chickensplit Half,false,27,incentivize interactive solutions,$8.37
Lamb - Loin Chops,false,57,enhance intuitive communities,$8.56
Nantucket - 518ml,true,44,generate efficient action-items,$5.32
Coffee - Decafenated,false,64,morph bleeding-edge relationships,$5.93
Chicken - Wieners,false,68,incubate 24/365 supply-chains,$2.49
Paper - Brown Paper Mini Cups,true,40,monetize virtual infrastructures,$2.58
Wine - Puligny Montrachet A.,true,33,monetize extensible web services,$4.15
Pastry - French Mini Assorted,true,67,iterate interactive web-readiness,$2.07
Crab - Meat,false,65,streamline strategic relationships,$6.02
Steampan - Half Size Shallow,false,94,engineer e-business initiatives,$9.04
Olives - Morracan Dired,false,88,implement one-to-one markets,$8.46
Vinegar - White,true,92,synthesize value-added methodologies,$3.90
Pear - Packum,false,96,streamline next-generation convergence,$3.11
Sauce - Plum,false,74,target efficient web-readiness,$6.75
"Pasta - Lasagna Noodle, Frozen",true,10,recontextualize turn-key communities,$8.12
"Pasta - Fusili, Dry",false,83,mesh integrated experiences,$3.07
Curry Paste - Madras,false,32,deploy magnetic networks,$4.54
Eggplant Italian,true,100,innovate synergistic web services,$2.57
Wine - Penfolds Koonuga Hill,false,67,drive cross-media e-tailers,$4.55
"Beef - Rib Roast, Capless",false,77,visualize best-of-breed e-tailers,$4.06
Transfer Sheets,true,65,extend efficient bandwidth,$5.19
Cookie Dough - Chunky,true,19,evolve bleeding-edge action-items,$2.73
Sugar - Individual Portions,true,87,generate B2C e-commerce,$6.69
Apricots Fresh,true,84,maximize mission-critical e-tailers,$7.98
Foam Cup 6 Oz,false,36,embrace vertical infrastructures,$5.85
Muffin Mix - Oatmeal,false,46,orchestrate revolutionary infomediaries,$5.65
Flour - Strong,false,35,innovate one-to-one users,$4.03
"Soup - Canadian Pea, Dry Mix",true,98,synthesize wireless bandwidth,$3.01
Bagelers - Cinn / Brown Sugar,true,24,incubate revolutionary schemas,$3.69
Vaccum Bag - 14x20,true,20,synergize seamless vortals,$6.32
Rice - Wild,false,30,reintermediate end-to-end experiences,$2.85
Table Cloth 72x144 White,false,33,monetize cross-platform channels,$9.94
Puree - Kiwi,false,86,transition killer platforms,$3.41
Glass Clear 7 Oz Xl,true,22,recontextualize scalable portals,$8.19
Veal - Slab Bacon,false,47,scale plug-and-play mindshare,$7.48
Gherkin,true,54,disintermediate efficient methodologies,$2.77
Wine - Cabernet Sauvignon,true,30,reinvent user-centric technologies,$6.34
Barramundi,true,40,strategize value-added schemas,$3.70
Chocolate - Semi Sweet,false,78,transition vertical functionalities,$2.16
Godiva White Chocolate,false,18,extend bleeding-edge experiences,$3.41
Loquat,false,68,syndicate impactful experiences,$4.71
Coffee - Hazelnut Cream,true,66,target bricks-and-clicks content,$9.27
Stainless Steel Cleaner Vision,false,29,streamline open-source solutions,$9.87
Bagel - Everything Presliced,false,38,integrate e-business systems,$5.41
Wine - Clavet Saint Emilion,true,39,repurpose viral technologies,$6.12
Cheese - Grie Des Champ,false,50,target integrated solutions,$4.16
"Wine - White, Riesling, Semi - Dry",true,97,visualize e-business e-commerce,$3.40
Pepper Squash,true,23,matrix innovative networks,$9.28
Alize Sunset,false,99,leverage out-of-the-box mindshare,$5.73
Green Scrubbie Pad H.duty,false,34,harness leading-edge technologies,$6.48
"Beans - Kidney, Red Dry",false,44,envisioneer robust bandwidth,$2.93
Spice - Peppercorn Melange,true,79,unleash holistic applications,$3.80
Lettuce - Belgian Endive,true,56,deploy synergistic relationships,$7.93
Puff Pastry - Sheets,false,98,matrix cutting-edge metrics,$3.81
Pail For Lid 1537,true,46,enhance distributed deliverables,$9.41
Mushroom - Lg - Cello,false,86,cultivate vertical portals,$4.59
Lettuce - California Mix,true,52,whiteboard distributed bandwidth,$9.02
"Plate - Foam, Bread And Butter",true,82,repurpose clicks-and-mortar e-business,$7.95
Wine - Chateau Aqueria Tavel,false,19,disintermediate open-source models,$7.38
"Pasta - Bauletti, Chicken White",false,58,matrix global applications,$8.91
Turnip - Wax,false,48,enable plug-and-play architectures,$2.25
Tart - Lemon,false,85,deliver distributed applications,$8.91
Sultanas,true,19,exploit value-added models,$7.18
Beef - Tender Tips,true,76,optimize plug-and-play niches,$6.41
Chutney Sauce - Mango,true,92,enhance efficient architectures,$7.06
Cinnamon Buns Sticky,false,24,streamline global vortals,$5.74
Bar Mix - Lime,false,15,transform scalable users,$5.30
"Pasta - Fett Alfredo, Single Serve",true,72,unleash distributed interfaces,$7.99
"Tomatoes - Diced, Canned",true,29,embrace open-source eyeballs,$3.17
"Jam - Blackberry, 20 Ml Jar",false,37,scale mission-critical platforms,$7.01
Filo Dough,true,43,architect one-to-one applications,$9.76
Bread - French Stick,false,38,optimize world-class methodologies,$7.98
Appetiser - Bought,true,67,engage virtual experiences,$4.00
Guava,true,68,engineer visionary eyeballs,$2.69
Venison - Liver,true,32,drive 24/7 e-business,$2.01
Soup Campbells - Tomato Bisque,false,73,enable one-to-one markets,$2.85
"Garlic - Primerba, Paste",false,79,mesh leading-edge schemas,$9.60
Pickles - Gherkins,true,24,drive plug-and-play ROI,$7.61
Bread - Calabrese Baguette,false,41,grow mission-critical synergies,$6.77
Shrimp - Black Tiger 6 - 8,false,25,orchestrate dynamic partnerships,$6.00
Tea - Green,false,31,enable plug-and-play models,$7.67
Pork - Backs - Boneless,true,83,expedite vertical web services,$5.88
Oven Mitts 17 Inch,true,27,target collaborative supply-chains,$8.36
Onion - Dried,false,43,incubate web-enabled partnerships,$3.74
"Wine - White, Lindemans Bin 95",false,79,integrate viral niches,$9.42
Truffle Cups - Brown,false,24,facilitate web-enabled applications,$3.30
Cattail Hearts,false,74,repurpose clicks-and-mortar markets,$4.69
Pate Pans Yellow,false,87,synthesize robust channels,$8.03
Bread - Multigrain Oval,true,92,deliver sticky interfaces,$4.14
"Wine - White, Concha Y Toro",true,45,engineer open-source initiatives,$8.47
Chips Potato All Dressed - 43g,true,57,exploit frictionless infrastructures,$8.10
Dc - Sakura Fu,false,49,syndicate efficient partnerships,$2.89
Praline Paste,true,84,mesh sticky channels,$3.75
Lamb - Rack,false,98,grow one-to-one communities,$4.59
Wine - Ruffino Chianti Classico,false,94,aggregate dynamic metrics,$5.80
Ham - Cooked Bayonne Tinned,false,48,synthesize proactive content,$5.93
Tequila - Sauza Silver,true,37,scale compelling platforms,$9.87
Chevere Logs,true,14,orchestrate frictionless mindshare,$4.01
"Olives - Green, Pitted",true,63,drive leading-edge portals,$5.03
Ice Cream Bar - Rolo Cone,true,62,engage one-to-one e-tailers,$3.43
"Beef - Ox Tail, Frozen",false,48,benchmark one-to-one platforms,$8.97
Wine - Pinot Noir Pond Haddock,false,48,synthesize innovative initiatives,$3.23
"Chicken - Thigh, Bone In",false,91,scale bleeding-edge content,$6.26
"Mushrooms - Black, Dried",false,35,target web-enabled e-commerce,$7.68
"Beer - Alexander Kieths, Pale Ale",true,97,brand sticky technologies,$2.93
Pastry - Raisin Muffin - Mini,true,29,brand 24/7 communities,$3.79
"Radish - Black, Winter, Organic",false,77,utilize viral supply-chains,$3.63
Bay Leaf Fresh,true,61,e-enable open-source supply-chains,$2.13
Ice Cream - Super Sandwich,true,79,iterate clicks-and-mortar eyeballs,$2.18
"Wine - Mas Chicet Rose, Vintage",false,75,redefine front-end paradigms,$8.51
Wine - Chardonnay Mondavi,false,85,monetize out-of-the-box relationships,$5.87
Hog / Sausage Casing - Pork,true,51,exploit dynamic deliverables,$2.37
Eel - Smoked,false,78,e-enable open-source functionalities,$8.42
Crackers Cheez It,true,95,visualize back-end synergies,$6.47
Bread - English Muffin,true,33,incentivize bricks-and-clicks systems,$9.26
Canada Dry,true,12,benchmark user-centric web-readiness,$7.55
Wine - Cabernet Sauvignon,false,95,aggregate sticky niches,$6.99
Langers - Mango Nectar,false,74,syndicate bleeding-edge portals,$8.59
Sausage - Chorizo,false,42,utilize interactive action-items,$9.58
Mushrooms - Honey,false,99,exploit mission-critical supply-chains,$9.21
"Soup - Knorr, Ministrone",true,51,implement out-of-the-box interfaces,$4.20
Beef - Tenderloin Tails,true,99,enable one-to-one niches,$9.37
Chick Peas - Canned,true,56,scale viral e-markets,$6.38
Wine - Touraine Azay - Le - Rideau,true,65,morph plug-and-play markets,$9.11
